Date/Time,CPU Usage %,Temperature C
2022-12-13 14:08:25,1.5,24.40356064
2022-12-13 14:08:35,0.1,24.40340805
2022-12-13 14:08:45,0.1,24.40340805
2022-12-13 14:08:55,0.2,24.40326691
2022-12-13 14:09:05,0.1,24.40326691
2022-12-13 14:09:15,0.1,24.40326691
2022-12-13 14:09:25,0.1,24.40326691
2022-12-13 14:09:35,0.1,24.40326691
2022-12-13 14:09:45,0.1,24.40326691
2022-12-13 14:09:55,0.1,24.40326691
2022-12-13 14:10:05,0.1,24.40326691
2022-12-13 14:10:15,0.1,24.40326691
2022-12-13 14:10:25,0.1,24.40326691
2022-12-13 14:10:35,0.1,24.40326691
2022-12-13 14:10:45,0.1,24.40326691
2022-12-13 14:10:55,0.1,24.40326691
2022-12-13 14:11:05,0.1,24.40326691
2022-12-13 14:11:15,0.1,24.40326691
2022-12-13 14:11:25,0.1,24.40326691
2022-12-13 14:11:35,0.1,24.40326691
2022-12-13 14:11:45,0.2,24.40314865
2022-12-13 14:11:55,0.1,24.40317535
2022-12-13 14:12:05,0.1,24.40317535
2022-12-13 14:12:15,0.1,24.40317535
2022-12-13 14:12:25,0.1,24.40317535
2022-12-13 14:12:35,0.1,24.40317535
2022-12-13 14:12:45,0.1,24.40317535
2022-12-13 14:12:55,0.1,24.40317535
2022-12-13 14:13:05,0.1,24.40317535
2022-12-13 14:13:15,0.1,24.40317535
2022-12-13 14:13:25,0.1,24.40317535
2022-12-13 14:13:35,0.1,24.40317535
2022-12-13 14:13:45,0.1,24.40317535
2022-12-13 14:13:55,0.1,24.40317535
2022-12-13 14:14:05,0.1,24.40317535
2022-12-13 14:14:15,0.2,24.40077209
2022-12-13 14:14:25,0.1,24.40050125
2022-12-13 14:14:35,0.1,24.40050125
2022-12-13 14:14:45,0.1,24.40050125
2022-12-13 14:14:55,0.1,24.40050125
2022-12-13 14:15:05,0.2,24.4005928
2022-12-13 14:15:15,0.1,24.4005928
2022-12-13 14:15:25,0.1,24.4005928
2022-12-13 14:15:35,0.1,24.4005928
2022-12-13 14:15:45,0.1,24.4005928
2022-12-13 14:15:55,0.1,24.4005928
2022-12-13 14:16:05,0.1,24.4005928
2022-12-13 14:16:15,0.1,24.4005928
2022-12-13 14:16:25,0.1,24.4005928
2022-12-13 14:16:35,0.1,24.4005928
2022-12-13 14:16:45,0.1,24.4005928
2022-12-13 14:16:55,0.1,24.4005928
2022-12-13 14:17:05,0.1,24.4005928
2022-12-13 14:17:15,0.1,24.4005928
2022-12-13 14:17:25,0.1,24.4005928
2022-12-13 14:17:35,0.1,24.4005928
2022-12-13 14:17:45,0.1,24.4005928
2022-12-13 14:17:55,0.1,24.4005928
2022-12-13 14:18:05,0.1,24.4005928
2022-12-13 14:18:15,0.1,24.4005928
2022-12-13 14:18:25,0.1,24.4005928
2022-12-13 14:18:35,0.1,24.4005928